																																																																			
Income from indivduals from 2001 to 2021																																																																			
																																																																			
	2001			2002			2003			2004			2005			2006			2007			2008			2009				2010			2011			2012			2013			2014			2015			2016			2017			2018				2019			2020			2021				
taxable income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Taxable Income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		
																												"bands to $300,000"																																							
																																																																			
"$93,001  - $94,000"	"1,410"	131.9	39.1	"1,800"	168.4	50.0	"2,030"	189.9	56.3	"2,510"	234.7	69.6	"2,680"	250.7	74.4	"2,620"	244.9	72.6	"3,540"	331.0	98.2	"4,160"	389.0	115.4	"3,900"	364.7	105.3	"$93,001  - $94,000"	"3,960"	370.1	99.2	"4,770"	446.0	111.8	"5,510"	515.4	120.0	"5,340"	499.3	116.3	"6,120"	572.1	133.2	"6,900"	644.9	150.2	"7,800"	729.4	169.2	"8,270"	773.3	179.6	"9,150"	855.3	199.2	"$93,001  - $94,000"	"10,390"	971.8	226.3	"11,420"	"1,067.7"	248.6	"12,320"	"1,152.1"	268.3		
"$94,001  - $95,000"	"1,610"	152.1	45.3	"1,860"	175.8	52.3	"2,080"	196.5	58.5	"2,080"	196.5	58.5	"2,480"	234.3	69.7	"2,810"	265.5	79.0	"3,860"	364.8	108.6	"3,460"	327.0	97.3	"4,290"	405.7	117.6	"$94,001  - $95,000"	"4,030"	380.9	102.6	"4,590"	433.7	109.2	"5,470"	517.0	120.9	"6,750"	637.9	149.2	"6,260"	591.5	138.4	"6,880"	650.2	152.1	"7,810"	738.3	172.3	"7,940"	750.5	175.0	"8,930"	843.8	197.4	"$94,001  - $95,000"	"10,200"	964.3	225.6	"11,500"	"1,086.7"	254.2	"11,870"	"1,121.9"	262.4		
"$95,001  - $96,000"	"1,320"	126.0	37.6	"1,940"	185.4	55.4	"1,600"	152.8	45.6	"2,080"	198.6	59.3	"2,580"	246.3	73.5	"2,330"	222.4	66.4	"3,360"	320.9	95.8	"3,900"	372.3	111.2	"3,880"	370.4	107.8	"$95,001  - $96,000"	"3,730"	356.2	96.4	"3,870"	369.5	93.4	"5,340"	509.8	119.7	"6,140"	586.7	137.9	"6,070"	579.9	136.3	"6,280"	599.9	141.0	"7,280"	694.7	162.7	"7,660"	731.4	171.5	"8,810"	841.6	197.7	"$95,001  - $96,000"	"9,680"	924.8	217.3	"10,920"	"1,042.6"	244.9	"11,680"	"1,115.2"	262.0		
"$96,001  - $97,000"	"1,280"	123.5	37.0	"1,760"	169.8	50.9	"1,380"	133.0	39.8	"1,800"	173.7	52.0	"2,280"	220.0	65.9	"2,490"	240.3	72.0	"3,110"	300.0	89.9	"3,400"	328.0	98.2	"2,880"	278.0	81.2	"$96,001  - $97,000"	"3,400"	328.2	89.2	"4,300"	414.9	105.3	"5,260"	507.5	119.7	"5,750"	554.9	130.9	"5,800"	559.7	132.0	"6,830"	659.0	155.5	"7,030"	678.6	159.8	"7,600"	733.5	172.5	"8,180"	789.7	186.3	"$96,001  - $97,000"	"9,230"	891.0	210.2	"10,510"	"1,014.5"	239.3	"11,420"	"1,102.4"	260.1		
"$97,001  - $98,000"	"1,440"	140.3	42.2	"1,810"	176.4	53.0	"1,440"	140.4	42.2	"2,180"	212.6	63.9	"2,000"	195.1	58.6	"2,280"	222.2	66.8	"3,190"	311.0	93.4	"3,450"	336.5	101.1	"3,530"	344.1	100.8	"$97,001  - $98,000"	"3,890"	379.1	103.4	"3,590"	349.8	89.1	"4,220"	411.5	97.5	"5,010"	488.4	115.7	"5,240"	510.9	121.0	"5,680"	553.8	131.2	"6,830"	665.8	157.2	"7,080"	689.8	162.9	"7,970"	777.1	184.1	"$97,001  - $98,000"	"8,800"	858.0	203.2	"9,980"	973.1	230.5	"10,980"	"1,070.3"	253.5		
"$98,001  - $99,000"	"1,690"	166.5	50.2	"1,810"	178.2	53.7	"1,810"	178.3	53.7	"1,710"	168.5	50.8	"2,480"	244.5	73.7	"2,570"	253.2	76.3	"2,590"	255.2	76.9	"2,710"	266.9	80.4	"3,440"	338.9	99.6	"$98,001  - $99,000"	"3,540"	348.7	95.5	"4,440"	437.3	111.9	"4,200"	413.7	98.4	"5,190"	511.2	121.6	"6,310"	621.6	147.8	"6,290"	619.6	147.4	"6,390"	629.1	149.1	"6,810"	670.6	159.0	"7,560"	744.4	177.0	"$98,001  - $99,000"	"8,560"	842.7	200.4	"9,560"	941.8	224.0	"10,590"	"1,043.3"	248.1		
"$99,001 - $100,000"	"2,080"	206.9	62.5	"2,000"	199.0	60.2	"1,780"	177.2	53.5	"1,860"	185.2	56.0	"2,430"	241.9	73.1	"2,630"	261.8	79.1	"2,810"	279.6	84.5	"3,550"	353.3	106.8	"3,030"	301.6	89.0	"$99,001 - $100,000"	"4,480"	446.1	122.7	"4,580"	456.0	117.2	"4,380"	436.0	104.1	"5,290"	526.7	125.8	"6,360"	633.5	151.3	"7,360"	732.8	175.0	"7,130"	710.1	169.1	"7,570"	753.7	179.4	"8,280"	824.2	196.8	"$99,001 - $100,000"	"9,240"	919.5	219.6	"10,400"	"1,035.3"	247.2	"10,660"	"1,061.1"	253.4		
"$100,001 - $101,000"	"1,540"	154.7	46.9	"1,710"	171.8	52.1	"1,480"	148.8	45.1	"1,740"	174.9	53.0	"2,130"	213.9	64.8	"2,120"	213.0	64.6	"2,490"	250.3	75.9	"3,080"	309.5	93.8	"3,110"	312.6	92.5	"$100,001 - $101,000"	"2,920"	293.2	80.9	"3,600"	361.9	93.3	"3,830"	384.8	92.2	"4,770"	479.2	114.8	"4,940"	496.4	119.0	"4,900"	492.2	117.9	"6,290"	632.4	151.0	"6,760"	679.3	162.1	"7,590"	762.3	182.7	"$100,001 - $101,000"	"8,540"	858.3	205.7	"9,760"	980.9	235.0	"10,460"	"1,050.4"	251.7		
"$101,001 - $102,000"	"1,070"	108.6	33.0	"1,360"	138.1	42.0	"1,420"	144.1	43.8	"1,860"	188.8	57.4	"1,920"	194.8	59.2	"2,580"	261.8	79.6	"2,400"	243.8	74.1	"3,160"	320.7	97.5	"3,370"	342.1	101.5	"$101,001 - $102,000"	"3,870"	392.7	108.8	"3,830"	388.6	100.6	"4,040"	410.1	98.7	"4,220"	428.2	103.0	"4,620"	469.0	112.8	"5,640"	572.6	137.7	"5,890"	597.7	143.4	"6,230"	632.3	151.8	"6,860"	696.5	167.5	"$101,001 - $102,000"	"7,760"	787.5	189.4	"8,860"	899.1	216.3	"9,620"	976.9	235.0		
"$102,001 - $103,000"	850	87.1	26.6	"1,310"	134.3	40.9	"1,400"	143.5	43.8	"1,560"	159.9	48.7	"1,630"	167.1	50.9	"1,960"	200.9	61.2	"2,340"	239.8	73.1	"2,750"	281.9	85.9	"3,180"	325.9	97.0	"$102,001 - $103,000"	"3,070"	314.5	87.4	"2,520"	258.3	67.1	"3,940"	403.9	97.5	"4,460"	457.2	110.4	"4,490"	460.2	111.1	"4,900"	502.1	121.2	"5,460"	559.2	134.5	"5,880"	603.0	145.1	"6,560"	672.7	162.4	"$102,001 - $103,000"	"7,430"	761.9	183.9	"8,380"	859.2	207.4	"8,930"	915.2	220.9		
"$103,001 - $104,000"	"1,330"	137.6	42.1	"1,260"	130.4	39.9	"1,300"	134.5	41.1	"1,410"	146.0	44.6	"1,640"	169.8	51.9	"2,170"	224.7	68.7	"2,630"	272.2	83.2	"2,540"	262.8	80.3	"2,690"	278.3	83.1	"$103,001 - $104,000"	"3,350"	346.9	96.8	"2,980"	308.3	80.3	"3,480"	360.3	87.3	"3,860"	399.6	96.8	"4,490"	464.7	112.6	"4,790"	495.7	120.1	"5,350"	553.6	133.8	"5,700"	590.0	142.5	"6,300"	652.5	158.1	"$103,001 - $104,000"	"7,270"	752.0	182.2	"7,910"	818.7	198.4	"8,830"	913.6	221.3		
"$104,001 - $105,000"	"1,150"	120.2	36.8	"1,180"	123.3	37.8	"1,270"	132.8	40.7	"1,380"	144.2	44.2	"1,600"	167.2	51.2	"1,690"	176.7	54.2	"2,350"	245.6	75.3	"2,190"	228.7	70.1	"2,600"	271.8	81.4	"$104,001 - $105,000"	"3,090"	322.8	90.4	"2,800"	292.7	76.6	"3,820"	399.2	97.1	"4,620"	482.9	117.4	"3,660"	382.5	93.0	"4,470"	467.3	113.6	"5,330"	557.4	134.9	"5,780"	604.2	146.5	"6,240"	651.8	158.5	"$104,001 - $105,000"	"7,100"	742.0	180.4	"7,860"	821.5	199.7	"8,660"	905.2	220.1		
"$105,001 - $106,000"	810	85.4	26.2	"1,360"	143.4	44.1	"1,190"	125.6	38.6	"1,050"	110.7	34.0	"1,480"	156.2	48.0	"1,960"	206.7	63.5	"1,850"	195.0	59.9	"2,390"	252.1	77.4	"2,960"	312.4	93.8	"$105,001 - $106,000"	"3,350"	353.4	99.3	"3,460"	365.1	95.8	"3,660"	386.1	94.2	"3,420"	360.8	88.0	"4,070"	429.4	104.7	"5,110"	539.1	131.5	"5,060"	533.3	129.8	"5,520"	581.8	141.6	"5,990"	631.4	154.0	"$105,001 - $106,000"	"6,670"	703.4	171.6	"7,560"	797.1	194.4	"8,250"	869.8	212.2		
"$106,001 - $107,000"	"1,140"	121.4	37.4	970	103.3	31.8	990	105.4	32.5	"1,460"	155.5	47.9	"1,730"	184.3	56.8	"1,730"	184.3	56.8	"1,880"	200.1	61.6	"2,260"	240.7	74.1	"2,840"	302.4	91.1	"$106,001 - $107,000"	"2,390"	254.4	71.7	"2,880"	306.7	80.8	"3,560"	379.1	92.8	"3,070"	327.0	80.0	"3,690"	392.8	96.1	"3,900"	415.4	101.7	"4,840"	515.4	125.8	"5,170"	550.3	134.3	"5,760"	613.1	150.1	"$106,001 - $107,000"	"6,310"	672.5	164.6	"7,170"	763.4	186.8	"7,730"	823.7	201.6		
"$107,001 - $108,000"	710	76.3	23.6	"1,100"	118.2	36.5	"1,260"	135.5	41.8	"1,140"	122.6	37.9	"1,570"	168.8	52.1	"1,680"	180.6	55.8	"2,030"	218.2	67.4	"2,460"	264.4	81.7	"2,500"	268.7	81.1	"$107,001 - $108,000"	"2,570"	276.3	78.1	"2,890"	310.8	82.1	"2,900"	311.8	76.6	"3,300"	354.8	87.1	"4,140"	445.1	109.3	"4,020"	432.0	106.1	"4,860"	521.9	127.7	"5,030"	541.1	132.5	"5,540"	595.3	146.2	"$107,001 - $108,000"	"6,190"	665.3	163.4	"6,920"	744.1	182.7	"7,750"	832.5	204.4		
"$108,001 - $109,000"	790	85.7	26.5	"1,020"	110.7	34.3	"1,160"	125.8	38.9	"1,380"	149.8	46.4	"1,190"	129.1	40.0	"1,740"	188.9	58.5	"1,680"	182.3	56.4	"2,030"	220.2	68.2	"2,530"	274.5	83.1	"$108,001 - $109,000"	"2,210"	239.7	68.0	"2,700"	293.1	77.7	"3,270"	354.9	87.4	"2,780"	301.5	74.3	"4,110"	445.9	109.8	"3,810"	413.4	101.8	"4,340"	470.7	115.6	"4,850"	526.7	129.2	"5,360"	581.4	143.2	"$108,001 - $109,000"	"6,010"	652.0	160.6	"6,800"	737.6	181.7	"7,440"	807.2	198.8		
"$109,001 - $110,000"	750	82.1	25.5	950	104.1	32.3	880	96.4	29.9	"1,140"	124.8	38.7	"1,710"	187.3	58.1	"1,450"	158.8	49.3	"2,040"	223.5	69.3	"2,070"	226.8	70.4	"2,720"	297.8	90.4	"$109,001 - $110,000"	"2,510"	274.9	78.2	"2,510"	274.9	73.1	"3,270"	358.1	88.5	"3,790"	415.3	102.6	"3,290"	360.3	89.0	"4,300"	471.1	116.4	"4,670"	511.2	125.9	"5,050"	553.2	136.5	"5,640"	617.7	152.6	"$109,001 - $110,000"	"6,130"	671.7	166.0	"6,910"	757.2	187.1	"7,390"	809.1	199.9		
"$110,001 - $111,000"	920	101.7	31.6	940	103.9	32.3	"1,110"	122.7	38.1	"1,330"	147.0	45.7	"1,710"	188.9	58.8	"1,810"	200.1	62.2	"2,020"	223.4	69.5	"2,270"	250.9	78.0	"2,350"	259.7	79.0	"$110,001 - $111,000"	"2,120"	234.2	66.8	"2,480"	274.0	73.0	"2,370"	261.8	64.9	"3,020"	333.7	82.7	"2,900"	320.4	79.4	"4,020"	444.1	110.1	"4,580"	505.9	124.7	"4,630"	511.8	126.4	"5,200"	574.7	142.4	"$110,001 - $111,000"	"5,860"	647.3	160.4	"6,520"	720.8	178.6	"7,350"	811.6	201.1		
"$111,001 - $112,000"	840	93.6	29.2	880	98.1	30.6	780	87.0	27.1	"1,070"	119.3	37.2	"1,440"	160.7	50.1	"1,790"	199.6	62.2	"1,690"	188.5	58.7	"2,440"	271.9	84.8	"3,000"	334.4	102.1	"$111,001 - $112,000"	"2,340"	260.9	74.7	"2,450"	273.2	73.1	"2,880"	321.2	79.9	"3,710"	413.8	102.9	"3,400"	379.1	94.2	"3,530"	393.6	97.9	"4,210"	469.7	116.4	"4,470"	498.1	123.4	"4,850"	540.6	134.4	"$111,001 - $112,000"	"5,590"	623.2	154.9	"6,230"	694.1	172.5	"6,620"	737.9	183.4		
"$112,001 - $113,000"	910	102.4	32.0	830	93.4	29.2	840	94.6	29.5	"1,150"	129.4	40.4	"1,310"	147.4	46.0	"1,660"	186.7	58.3	"1,370"	154.2	48.2	"1,990"	223.8	69.9	"2,280"	256.4	78.4	"$112,001 - $113,000"	"2,880"	324.0	93.0	"2,650"	298.1	79.9	"3,000"	337.5	84.1	"2,640"	297.0	74.0	"3,610"	406.2	101.3	"3,810"	428.7	106.9	"3,980"	447.5	111.1	"4,290"	482.9	119.9	"4,760"	535.3	133.4	"$112,001 - $113,000"	"5,450"	612.8	152.8	"6,030"	678.6	169.2	"6,620"	745.0	185.7		
"$113,001 - $114,000"	640	72.7	22.8	700	79.5	24.9	690	78.3	24.5	910	103.3	32.3	"1,030"	116.9	36.6	"1,170"	132.7	41.6	"1,800"	204.2	63.9	"2,010"	228.2	71.4	"2,020"	229.3	70.3	"$113,001 - $114,000"	"1,960"	222.5	64.1	"2,320"	263.3	70.8	"2,800"	317.8	79.4	"2,780"	315.6	78.9	"2,990"	339.5	84.9	"3,260"	370.1	92.5	"3,780"	429.1	106.9	"4,060"	461.1	115.0	"4,480"	508.6	127.2	"$113,001 - $114,000"	"5,200"	590.7	147.7	"5,690"	645.4	161.3	"6,150"	697.9	174.5		
"$114,001 - $115,000"	690	79.0	24.8	700	80.1	25.1	660	75.6	23.7	"1,060"	121.4	38.1	"1,040"	119.1	37.4	"1,120"	128.3	40.2	"1,430"	163.8	51.4	"1,770"	202.7	63.6	"1,880"	215.3	66.2	"$114,001 - $115,000"	"2,150"	246.0	71.0	"2,110"	241.6	65.2	"2,230"	255.4	64.0	"2,720"	311.5	78.1	"3,080"	352.6	88.4	"3,290"	376.5	94.4	"3,900"	447.0	111.6	"4,160"	475.8	119.2	"4,630"	529.6	132.8	"$114,001 - $115,000"	"4,980"	570.2	142.9	"5,770"	660.4	165.6	"6,270"	717.5	179.9		
"$115,001 - $116,000"	640	74.0	23.3	610	70.5	22.1	"1,020"	117.6	37.0	850	98.1	30.9	930	107.4	33.8	"1,230"	142.1	44.7	"1,480"	171.0	53.8	"1,690"	195.2	61.4	"2,150"	248.4	76.5	"$115,001 - $116,000"	"1,550"	179.1	51.8	"1,780"	205.6	55.6	"2,360"	272.5	68.5	"2,380"	274.7	69.0	"2,770"	319.8	80.4	"3,160"	364.9	91.7	"3,720"	429.1	107.5	"3,930"	453.4	113.7	"4,400"	507.7	127.6	"$115,001 - $116,000"	"4,980"	575.1	144.6	"5,530"	639.0	160.6	"6,220"	718.8	180.7		
"$116,001 - $117,000"	660	76.9	24.2	780	90.9	28.6	790	92.0	29.0	910	106.0	33.4	"1,120"	130.4	41.1	"1,230"	143.3	45.2	"1,340"	156.1	49.2	"1,680"	195.6	61.6	"1,770"	206.3	63.7	"$116,001 - $117,000"	"1,860"	216.6	62.9	"2,180"	254.0	68.9	"2,240"	261.1	65.8	"2,630"	306.4	77.2	"2,910"	339.1	85.5	"2,880"	335.3	84.5	"3,590"	418.0	105.1	"3,830"	446.5	112.1	"4,250"	495.5	124.9	"$116,001 - $117,000"	"4,750"	552.8	139.3	"5,280"	614.8	155.0	"5,930"	690.4	174.0		
"$117,001 - $118,000"	680	79.9	25.2	780	91.6	28.9	860	101.0	31.9	800	94.0	29.7	"1,100"	129.2	40.8	"1,250"	146.8	46.3	"1,720"	202.1	63.8	"1,460"	171.7	54.2	"1,810"	212.7	65.8	"$117,001 - $118,000"	"1,410"	165.7	48.2	"2,070"	243.2	66.1	"2,630"	309.1	78.1	"2,870"	337.2	85.2	"2,710"	318.6	80.5	"3,380"	397.2	100.4	"3,500"	411.6	103.5	"3,850"	452.4	114.1	"4,120"	484.1	122.4	"$117,001 - $118,000"	"4,630"	544.0	137.5	"5,280"	620.6	156.8	"5,830"	685.2	173.2		
"$118,001 - $119,000"	630	74.7	23.6	620	73.5	23.3	860	101.9	32.2	900	106.6	33.7	"1,170"	138.7	43.9	"1,210"	143.4	45.4	"1,450"	171.7	54.3	"1,690"	200.3	63.4	"1,880"	222.8	69.1	"$118,001 - $119,000"	"2,230"	264.2	77.1	"2,150"	254.8	69.5	"2,520"	298.7	75.7	"2,900"	343.7	87.1	"2,890"	342.4	86.8	"2,780"	329.5	83.5	"3,330"	394.0	99.6	"3,530"	417.9	105.4	"3,950"	468.4	118.7	"$118,001 - $119,000"	"4,420"	523.7	132.7	"4,990"	590.7	149.7	"5,450"	645.7	163.6		
"$119,001 - $120,000"	670	80.1	25.4	"1,170"	139.9	44.3	890	106.4	33.7	960	114.8	36.4	"1,410"	168.6	53.5	"1,030"	123.2	39.0	990	118.4	37.5	"1,510"	180.6	57.2	"1,960"	234.3	72.8	"$119,001 - $120,000"	"1,920"	229.5	67.2	"1,770"	211.4	57.8	"2,790"	333.5	84.7	"3,200"	382.6	97.2	"3,090"	369.5	93.9	"3,560"	425.9	108.2	"3,750"	447.8	113.5	"4,030"	482.1	122.1	"4,490"	537.0	136.4	"$119,001 - $120,000"	"4,770"	570.2	144.8	"5,440"	650.1	165.2	"5,770"	689.5	175.2		
"$120,001 - $121,000"	750	90.4	28.7	620	74.7	23.7	700	84.3	26.8	850	102.5	32.5	980	118.1	37.5	"1,000"	120.5	38.3	"1,310"	157.8	50.1	"1,260"	151.9	48.2	"1,530"	184.4	57.4	"$120,001 - $121,000"	"1,920"	231.3	67.8	"2,500"	301.2	82.5	"2,360"	284.3	72.4	"2,370"	285.6	72.7	"2,400"	289.1	73.6	"2,970"	357.8	91.1	"3,410"	410.3	104.0	"3,640"	439.0	111.4	"4,150"	499.4	127.2	"$120,001 - $121,000"	"4,490"	540.9	137.7	"5,290"	637.3	162.3	"5,650"	680.4	173.3		
"$121,001 - $122,000"	410	49.8	15.8	610	74.1	23.6	600	72.9	23.2	830	100.8	32.1	970	117.8	37.5	"1,070"	130.0	41.4	"1,500"	182.2	58.0	"1,190"	144.6	46.0	"1,550"	188.3	58.8	"$121,001 - $122,000"	"1,410"	171.4	50.4	"2,210"	268.6	73.8	"2,430"	295.4	75.4	"3,160"	384.0	98.0	"2,960"	359.5	91.8	"2,810"	341.4	87.1	"3,240"	393.2	100.1	"3,370"	410.0	104.5	"3,610"	438.0	111.8	"$121,001 - $122,000"	"4,290"	521.0	133.0	"4,790"	582.1	148.6	"5,120"	621.8	158.7		
"$122,001 - $123,000"	530	64.9	20.7	490	60.0	19.1	770	94.3	30.0	"1,000"	122.5	39.0	840	102.9	32.8	940	115.1	36.7	"1,170"	143.3	45.7	"1,790"	219.3	69.9	"2,030"	248.7	77.8	"$122,001 - $123,000"	"1,460"	178.9	52.7	"1,600"	195.9	53.9	"1,830"	224.2	57.4	"2,340"	286.7	73.4	"2,870"	351.5	89.9	"2,860"	350.4	89.7	"3,130"	383.8	97.8	"3,300"	403.7	102.9	"3,610"	442.3	113.2	"$122,001 - $123,000"	"4,240"	519.2	132.9	"4,770"	584.7	149.6	"5,030"	616.3	157.7		
"$123,001 - $124,000"	630	77.8	24.8	400	49.4	15.8	860	106.3	33.9	"1,010"	124.7	39.8	880	108.7	34.7	950	117.4	37.5	"1,320"	163.0	52.0	"1,170"	144.5	46.1	"1,630"	201.3	63.1	"$123,001 - $124,000"	"1,570"	193.9	57.3	"1,920"	237.2	65.4	"2,090"	258.1	66.2	"2,060"	254.4	65.2	"2,680"	330.9	84.9	"2,210"	272.9	70.0	"2,820"	348.4	89.1	"3,090"	381.9	97.7	"3,620"	446.5	114.5	"$123,001 - $124,000"	"3,930"	485.4	124.5	"4,340"	535.9	137.4	"4,720"	583.3	149.6		
"$124,001 - $125,000"	510	63.5	20.3	460	57.3	18.3	630	78.5	25.1	660	82.1	26.2	580	72.2	23.1	"1,030"	128.3	41.0	"1,210"	150.6	48.2	"1,710"	213.1	68.2	"1,920"	239.2	75.1	"$124,001 - $125,000"	"1,810"	225.4	66.7	"2,010"	250.3	69.2	"2,110"	262.8	67.6	"2,210"	275.2	70.8	"2,420"	301.3	77.5	"2,650"	330.0	84.8	"2,960"	368.1	94.4	"3,210"	400.0	102.5	"3,630"	451.4	116.1	"$124,001 - $125,000"	"3,920"	488.7	125.6	"4,660"	579.8	149.0	"4,940"	615.4	158.2		
"$125,001 - $126,000"	450	56.5	18.1	570	71.5	22.9	780	97.9	31.4	730	91.7	29.4	780	97.9	31.4	"1,130"	141.8	45.4	930	116.7	37.4	"1,030"	129.2	41.4	"1,580"	198.3	62.4	"$125,001 - $126,000"	"1,430"	179.5	53.3	"1,800"	225.9	62.6	"1,970"	247.3	63.7	"2,310"	289.9	74.7	"2,880"	361.4	93.1	"2,140"	268.7	69.2	"2,790"	349.7	89.7	"3,030"	380.7	97.7	"3,440"	431.1	111.1	"$125,001 - $126,000"	"3,780"	474.4	122.2	"4,310"	541.0	139.4	"4,590"	575.5	148.3		
"$126,001 - $127,000"	440	55.7	17.9	660	83.5	26.8	820	103.7	33.3	660	83.5	26.8	590	74.6	23.9	"1,110"	140.4	45.1	920	116.4	37.4	"1,210"	153.1	49.1	"1,510"	191.1	60.2	"$126,001 - $127,000"	"1,720"	217.6	64.7	"1,450"	183.4	51.0	"1,730"	218.9	56.5	"1,870"	236.5	61.1	"2,570"	325.2	84.0	"2,410"	304.8	78.7	"2,700"	340.9	87.6	"2,950"	373.1	95.9	"3,230"	408.6	105.5	"$126,001 - $127,000"	"3,610"	457.0	118.0	"3,990"	505.2	130.5	"4,360"	551.4	142.4		
"$127,001 - $128,000"	470	60.0	19.3	560	71.4	23.0	620	79.1	25.4	650	82.9	26.7	770	98.1	31.5	"1,100"	140.3	45.1	"1,040"	132.5	42.6	"1,320"	168.2	54.1	"1,120"	142.8	45.1	"$127,001 - $128,000"	"1,760"	224.4	66.9	"1,080"	137.7	38.3	"1,920"	244.8	63.4	"2,010"	256.3	66.3	"2,520"	321.2	83.1	"2,670"	340.4	88.1	"2,720"	346.2	89.1	"2,810"	358.7	92.6	"3,150"	401.8	104.0	"$127,001 - $128,000"	"3,510"	446.9	115.7	"3,990"	509.1	131.7	"4,170"	531.8	137.6		
"$128,001 - $129,000"	470	60.4	19.4	480	61.7	19.9	620	79.7	25.7	770	98.9	31.9	730	93.8	30.2	850	109.2	35.2	920	118.3	38.1	"1,270"	163.1	52.5	"1,470"	188.9	59.8	"$128,001 - $129,000"	"1,340"	172.2	51.4	"1,620"	208.1	58.1	"2,260"	290.5	75.3	"1,900"	244.3	63.4	"1,900"	244.0	63.3	"3,000"	385.5	100.0	"2,620"	337.1	87.1	"2,680"	343.9	88.9	"3,010"	386.1	100.1	"$128,001 - $129,000"	"3,400"	436.9	113.3	"3,720"	477.9	123.9	"4,010"	515.3	133.6		
"$129,001 - $130,000"	560	72.5	23.4	430	55.7	18.0	670	86.8	28.0	810	104.9	33.8	830	107.5	34.7	800	103.6	33.4	870	112.6	36.3	"1,220"	158.0	51.0	"1,450"	187.8	59.5	"$129,001 - $130,000"	"1,690"	219.0	65.6	"1,290"	167.1	46.7	"1,890"	244.8	63.6	"2,350"	304.4	79.1	"2,510"	325.2	84.5	"2,290"	296.5	77.1	"2,600"	337.2	87.4	"2,980"	385.8	99.8	"3,260"	421.8	109.6	"$129,001 - $130,000"	"3,610"	467.5	121.5	"4,010"	519.9	135.1	"4,140"	536.1	139.3		
"$130,001 - $131,000"	730	95.2	30.8	620	80.9	26.1	600	78.3	25.3	500	65.3	21.1	760	99.2	32.0	790	103.0	33.3	900	117.5	38.0	"1,370"	178.8	57.8	"1,570"	204.9	65.1	"$130,001 - $131,000"	980	128.0	38.4	"1,720"	224.5	62.9	"1,870"	243.9	63.5	"1,900"	248.1	64.6	"1,670"	217.9	56.7	"2,530"	330.2	86.0	"2,480"	323.1	83.9	"2,700"	352.1	91.1	"2,970"	387.4	100.9	"$130,001 - $131,000"	"3,370"	439.7	114.5	"3,780"	492.6	128.3	"4,210"	548.9	142.9		
"$131,001 - $132,000"	550	72.3	23.4	670	88.1	28.5	420	55.2	17.9	680	89.4	28.9	590	77.6	25.1	660	86.8	28.1	700	92.1	29.8	970	127.6	41.3	"1,050"	138.1	43.9	"$131,001 - $132,000"	"1,320"	173.6	52.2	"1,430"	187.9	52.8	"1,830"	240.6	62.8	"2,030"	266.9	69.6	"1,900"	249.8	65.2	"2,040"	268.2	70.0	"2,400"	315.9	82.3	"2,530"	332.9	86.5	"2,880"	378.3	98.7	"$131,001 - $132,000"	"3,250"	427.8	111.6	"3,630"	477.6	124.6	"3,890"	511.4	133.5		
"$132,001 - $133,000"	470	62.2	20.2	510	67.6	21.9	530	70.2	22.7	520	68.9	22.4	730	96.8	31.4	850	112.6	36.5	"1,070"	141.8	46.0	930	123.2	39.9	"1,030"	136.5	43.5	"$132,001 - $133,000"	"1,100"	145.8	43.9	"1,280"	169.6	47.7	"1,760"	233.1	60.9	"1,550"	205.4	53.7	"1,900"	251.8	65.8	"1,820"	241.1	63.1	"2,250"	298.5	77.8	"2,520"	333.8	87.2	"2,810"	371.9	97.2	"$132,001 - $133,000"	"3,090"	409.7	107.1	"3,520"	466.0	121.8	"3,810"	504.6	131.9		
"$133,001 - $134,000"	340	45.4	14.7	580	77.4	25.1	580	77.4	25.1	550	73.5	23.8	960	128.2	41.6	810	108.1	35.1	"1,000"	133.6	43.4	890	118.8	38.6	"1,110"	148.2	47.3	"$133,001 - $134,000"	"1,100"	146.8	44.3	"1,260"	168.2	47.4	"1,530"	204.2	53.5	"1,890"	252.3	66.1	"2,070"	276.3	72.4	"1,800"	240.3	63.0	"2,300"	307.1	80.2	"2,380"	318.0	83.1	"2,660"	354.6	92.9	"$133,001 - $134,000"	"2,880"	383.8	100.5	"3,440"	459.1	120.3	"3,560"	475.4	124.5		
